"Rock Type (Limestone-1,Shale-3,Sandstone-4,Basalt-5,Granite-6)",Density (g/cc),UCS (MPa),RQD (%),Hardness,Joint Spacing (m),Joint Orientation (deg),Fracture Frequency (/m),Charge per Hole (kg),Powder Factor (kg/m3),Delay Timing (ms),"Initiation Sequence (Line-1,Staggered-2,Diagonal-3,Vpattern-4)",Burden (m),Spacing (m),Bench Height (m),Hole Diameter (mm),Hole Depth (m),Sub Drilling (m),Stemming Length (m),"Explosive Type(Emulsion-1,ANFO-2,Slurry-3)",Bench Width (m),Slope Angle (deg),Overall Slope Angle (deg),Pit Length (m),Temperature (C),Rainfall (mm),Humidity (%),Flyrock Distance (m)
4,3,106.9,87.4,3,0.47,69,2,317.3,0.38,194,1,4.99,7.42,11.12,216,11.75,1.72,4.35,1,5.66,67,30,804.3,45,132,86,27.06
3,2.54,242.8,39.1,10,1.74,65,6,471.4,0.38,259,3,6.73,6.93,14.53,132,15.85,1.45,4.93,1,5.53,63,53,420.7,44,179,30,43.96
5,2.64,187.8,99.4,3,1.97,25,7,274.4,0.71,383,4,4.78,5.15,11.02,111,12.12,2.35,3.57,1,11.7,45,34,499.1,26,80,39,54.28
3,2.6,199.6,62.5,6,0.7,83,13,127.3,0.78,403,2,6.16,7.63,12.83,216,14.16,2.86,4.71,1,15.47,50,51,453.4,21,216,98,32.86
6,2.31,126.2,64.1,5,1.72,7,10,223.8,1,98,2,4.6,6.09,9.65,229,11.46,1.53,4.59,2,18.47,65,31,226.6,28,265,33,54.01
3,2.28,220.7,89,6,2.13,8,13,311,0.55,206,4,3.04,3.55,7.33,240,9.26,0.94,2.67,1,7.98,50,47,830.1,31,266,35,36.4
5,2.33,124.4,86.9,9,1.83,19,3,455,0.39,26,3,4.45,4.47,9.73,146,10.53,1.62,3.55,1,10.5,75,39,134.7,40,249,87,29.19
5,2.96,199,90.3,7,0.86,21,3,80.2,0.38,363,1,3.21,4.56,7.9,196,8.99,0.74,3.07,2,9.03,67,52,774.8,41,192,53,11.75
4,2.54,284.5,79.2,3,2.19,54,10,476.5,0.53,150,2,4.45,5.67,10.52,224,11.39,1.51,3.59,3,9.01,74,35,925.3,22,239,66,48.49
3,2.92,65.1,21.7,8,0.66,59,12,51.9,0.73,293,2,5.35,7.21,11.1,96,12.97,1.58,5.28,2,6.66,50,39,134.5,34,77,41,23.76
4,2.48,288.3,98.6,5,1.87,82,12,397.5,0.61,156,1,3.11,4.43,8.5,175,9.35,0.98,2.7,2,14.69,74,30,533.8,44,91,32,36.17
1,2.53,187.4,31,4,1.08,69,14,273.3,0.69,194,4,4.6,6.37,9.78,118,10.84,2.14,4.57,3,13.95,50,49,575.1,40,300,63,25.68
4,2.79,216.5,59.3,7,1.12,74,8,231.4,0.87,496,1,4.96,5.27,11.74,127,12.43,2.45,4.75,3,5.71,74,53,619.3,44,287,33,43.21
4,2.65,48.2,20.7,7,2.19,25,10,380.4,0.67,383,1,4.23,5.69,11.11,78,12.84,1.29,3.94,3,8.45,70,30,914.7,40,36,74,33.25
5,2.38,116.8,29.3,8,0.35,44,11,470.4,0.58,218,1,4.92,7.18,14.66,84,15.56,1.08,4.58,3,17.72,65,34,360,27,293,39,31.1
3,2.55,198.7,57.2,4,0.82,67,3,448.1,0.57,342,3,5.94,7.64,14.35,156,16.35,2.33,4.16,3,19.03,55,37,956.1,44,248,45,42.7
3,2.84,205.5,84.9,3,0.44,43,3,167.5,0.88,101,1,4.71,6.56,13.69,102,14.33,1.39,4.32,3,18.52,62,48,592.9,29,13,37,38.9
5,2.79,219.6,46.5,3,0.99,72,7,483.5,0.31,304,4,4.71,5.76,10.47,122,11.76,1.86,3.75,2,7.73,46,31,875.3,38,44,30,34.3
3,2.96,278.3,24.7,10,2.36,10,15,190.3,0.5,461,1,4.12,5.91,12.08,189,12.77,1.88,3.86,3,6.14,54,47,490.7,40,230,49,15.35
1,2.37,122.7,27.6,8,0.79,48,9,499.7,0.57,260,2,3.45,5.07,7.66,116,8.46,1.46,2.52,2,16.68,62,31,681.3,24,73,98,51.64
6,2.77,193.8,56.3,7,0.42,2,12,448,0.75,74,4,3.94,3.99,10.81,168,12.12,1.79,3.74,2,11.52,59,40,390.2,23,112,62,41.89
6,2.65,167.9,62.6,5,0.66,25,10,257,0.95,71,2,4.2,5.64,10.91,212,12.75,1.26,4.12,1,6.16,67,48,682.7,45,197,54,49.85
4,2.51,169.7,96.5,10,2.31,36,11,255.1,0.36,486,4,3.7,4.19,9.74,228,10.68,0.87,2.82,3,12.75,69,47,536.6,38,221,40,34.18
6,2.97,139.9,45.6,4,1.27,3,8,307.3,0.41,153,1,5.31,7.49,14.61,216,15.68,1.72,4.66,2,19.75,59,42,684,36,291,81,16.92
6,2.32,172.8,86.7,6,2.05,8,6,494.5,0.58,130,4,3.57,3.72,9.46,200,11.26,1.67,3.1,1,16.12,75,50,538.6,38,188,56,50.54
1,2.72,104.7,75.7,6,2.29,5,5,345.9,0.35,299,2,5.32,6.54,11.6,249,13.15,2.33,4.73,1,17.31,53,45,685.1,31,179,57,14.64
6,2.54,204.5,80.2,3,1.68,15,3,122.8,0.86,455,3,2.75,2.81,8,165,9.11,1.23,2.72,2,17.76,55,47,942.5,28,57,56,32.75
5,2.52,171.9,71.6,7,1.14,22,13,358.2,0.3,104,2,3.63,4.33,8.02,211,9.84,1.19,3.43,3,16,47,34,533.3,35,102,57,27.56
3,2.85,282.3,40.5,4,0.35,11,10,194.2,0.83,413,3,4.94,6.42,14.27,239,15.64,2.14,4.07,1,14.84,55,41,524.4,43,66,42,38.14
5,2.62,297.1,98.9,8,1.48,9,13,465.7,0.84,28,3,6.68,9.53,13.97,106,15.03,2.47,4.68,2,14.26,75,47,798,27,208,71,62.63
4,2.25,285,64.9,5,0.36,78,1,211,0.91,131,4,4.69,6.45,13.97,179,15.5,1.15,3.86,2,7.77,74,53,606.2,42,154,71,54.51
6,2.55,190,97.5,10,1.37,87,5,170.4,0.71,124,4,6.93,8.47,13.94,89,15.74,2.29,5.62,3,18.64,47,44,501.8,20,75,88,36.01
4,2.85,210.6,69.7,3,2.34,7,12,415.1,0.59,438,2,4.44,6.58,11.35,91,11.99,1.2,4.32,3,5.29,66,38,500.3,22,168,73,34.33
5,2.23,160.1,91,4,1.45,1,4,436.9,0.45,37,3,3.49,3.66,9.61,128,10.65,1.53,2.57,3,11.07,65,54,899.1,34,98,49,49.83
5,2.93,96.8,84.2,6,2.3,82,8,257.2,0.3,152,2,5.43,7.82,10.9,230,11.44,1.43,4.64,2,13.34,57,32,956.4,35,105,71,9.28
5,2.51,167,87.8,9,1.84,51,6,268.8,0.64,109,3,5.46,6.97,14.62,139,16.06,1.62,4.4,2,16.04,54,36,656.5,27,11,80,35.72
6,2.75,154.1,49,3,2,79,4,244.2,0.32,491,1,4.21,5.88,12.6,157,14.5,2.1,3.51,1,15.97,71,35,374.7,36,276,89,30.68
3,2.41,146.3,30.5,8,0.5,48,6,230.6,0.72,72,4,3.43,3.58,8.22,96,9.31,1.36,2.51,1,11.17,61,52,861.5,28,253,75,52.5
1,2.26,179.1,69.4,3,0.79,13,12,380.3,0.85,277,2,5.1,7.25,10.39,234,12.29,1.48,3.98,1,5.11,73,55,602.4,35,41,44,46.67
3,2.23,270.8,69.2,9,2.19,10,9,490.2,0.94,480,1,5.69,7.1,14.86,118,16.03,1.38,5.16,3,19.33,55,39,213.8,22,64,79,52.2
6,2.22,192.3,66.4,3,1.81,15,1,108.5,0.86,491,3,3.44,4.62,9.9,217,11.04,1.07,3.4,3,9.34,59,55,537.1,23,238,34,30.85
5,2.85,281,37.4,10,2.32,71,3,352.1,0.6,171,4,5.07,5.65,14.48,130,16.05,1.13,3.71,3,18.08,51,38,300.6,32,23,38,46.32
4,2.67,49.1,44.6,6,0.93,20,5,60.1,0.47,184,3,4.22,4.71,10.4,210,11.17,1.98,3.32,3,16.27,62,30,669.5,20,106,76,13.31
5,2.36,177.2,64.7,8,1.11,10,12,382.1,0.33,325,4,4.14,5.52,8.33,198,9.84,1.34,3.15,3,15.24,57,42,416,39,229,91,38.89
5,2.35,148.2,70.2,3,1.35,34,14,228.1,0.68,306,3,5.26,5.45,13.97,228,15.84,1.09,4.15,1,7.12,54,45,208.5,34,199,93,32.82
3,2.49,277,38.3,4,0.97,4,7,168.6,0.64,216,1,3.32,4.46,9.05,106,9.89,0.99,2.57,2,18.23,66,48,716.3,40,24,54,27.39
4,2.84,229.6,23.7,6,2.22,30,1,331.4,0.57,388,4,6.03,8.85,12.29,140,14.11,2.41,5.6,2,16.26,46,39,253.1,27,290,87,38.04
3,2.53,219.6,99.1,6,2.08,46,14,158.4,0.62,475,4,3.98,4.5,10.15,192,10.66,1.3,3.11,2,19.33,45,54,618.3,29,239,95,27.63
4,2.45,207.2,40.2,4,2.14,7,10,100,0.42,37,4,5.41,6.16,12.34,101,13.12,1.17,4.26,3,10.45,59,51,834.7,41,293,99,17.02
4,2.94,44,30.8,9,1.14,52,4,351.9,0.42,406,2,3.37,4.31,8.24,123,9.13,0.79,3.09,2,16.98,70,30,309.6,45,290,53,29.83
4,2.64,253.6,36.1,5,1.53,82,3,360,0.6,445,3,5.8,8.65,12.37,122,13.96,2.59,5.17,1,14.12,59,51,185.7,41,73,43,28.27
5,2.57,46.5,71,7,1.98,79,13,391.9,0.52,34,4,6.19,8.6,12.74,197,14.54,2.84,4.46,1,12.75,49,43,396.6,31,274,56,46.39
1,2.35,220.7,84.9,10,0.43,15,8,411.4,0.41,177,3,5.39,5.83,12.55,135,13.72,2.07,4.51,2,13.93,63,38,972.1,23,66,43,24.03
5,2.7,89.8,50.8,7,1.16,72,14,367.2,0.56,74,1,3.59,4.17,9.4,190,11.34,1.79,2.8,1,10.74,63,38,471.9,41,111,95,43.95
1,2.66,43.7,76.8,3,1.96,23,11,175,0.69,319,4,4.2,5.47,10.19,209,11.39,1.24,3.16,2,19.1,59,38,924.3,23,12,97,47.92
5,2.98,55.8,66.8,10,0.17,65,5,178.1,0.87,211,3,3.82,4.63,9.15,177,9.8,1.36,3.24,2,6.26,75,33,468.1,35,102,79,53.69
1,2.47,26.9,65.7,6,2.32,81,2,151.5,0.93,207,1,4.11,4.22,8.57,135,9.85,1,3.78,1,16.81,75,48,391.5,33,83,54,45.22
1,2.67,250.5,32.9,6,2.33,9,10,270.8,0.34,411,1,5.18,5.19,13.66,247,15.41,1.83,4.62,3,17.09,55,35,867.9,45,264,57,26.16
1,2.8,102.2,35.2,8,1.68,39,10,265.9,0.46,140,2,4.95,5.78,11.38,96,13.01,1.21,4.39,1,19.75,75,55,370.6,41,111,91,22.87
3,2.86,169.8,79.1,7,1.16,72,15,142,0.82,328,2,3.87,4.66,8.35,151,9.35,1.32,2.85,1,7.23,46,49,741.9,42,79,71,43.33
5,2.51,43.1,94,5,0.89,3,12,444,1,118,3,3.92,4.65,7.95,127,9.92,1.27,3.83,3,19.9,53,31,450.4,29,65,62,58.35
5,2.32,244.5,38.2,9,0.28,88,14,301.3,0.54,479,1,5.49,7.44,12.15,196,13.1,2.12,5.09,3,13.15,60,44,927.8,39,282,74,23.46
3,2.74,267.6,54.9,5,1.53,63,3,197.7,0.89,383,4,4.24,5.65,8.58,148,9.87,1.61,3.11,2,5.61,48,41,485.4,36,22,46,47.01
1,2.65,288.3,63.5,9,1.7,84,8,472.8,0.81,86,4,2.27,2.89,6.41,79,7.5,1.11,1.73,2,12.42,52,40,656.3,35,136,30,53.34
1,2.8,36.7,35.3,3,1.19,18,10,100.5,0.49,336,4,2.58,3.11,7.09,109,8.19,0.91,1.81,2,18.13,47,39,493.7,29,83,35,34.95
3,2.52,93.7,24.8,5,1.99,40,13,352.8,0.81,68,2,3.83,4.56,8.49,116,9.68,1.83,3.81,3,6.67,69,37,230.8,35,92,68,52.31
5,2.78,210.1,29.8,5,2.24,38,10,115.5,0.89,267,4,5.01,5.79,10.84,239,11.97,2.02,3.86,3,5.96,59,30,822.4,20,93,48,51.28
3,2.41,175.4,28.9,8,2.07,88,2,181.4,0.53,303,4,2.7,2.83,7.84,184,8.67,0.88,2.34,3,17.66,70,30,313.3,36,151,50,22.13
5,2.57,196.1,82.4,8,0.95,36,11,59.3,0.73,493,2,6.59,8.33,14.79,211,15.8,2.89,4.91,3,19.53,65,48,865.5,39,290,90,43.31
3,2.46,161.2,80.8,10,1.56,13,3,236.6,0.38,17,4,3.4,4.27,7.01,250,7.53,0.88,3.24,1,14.96,47,38,440.7,30,57,83,20.29
6,2.91,84.4,54.6,10,0.1,69,1,134.4,0.48,459,1,5.37,7.76,10.86,162,11.53,1.76,4.48,1,18.71,64,44,179.4,29,123,73,23.19
3,2.58,44.2,53.4,6,0.79,11,9,121.8,0.3,462,4,6.54,7.78,13.64,84,15.6,2.94,6.5,1,12.86,75,34,508.8,20,116,53,-2.36
6,2.79,53.2,88.1,9,1.78,88,7,238.8,0.41,213,3,4.22,6.09,11.19,175,12.23,1.58,4.09,2,9.58,55,45,477.6,26,182,33,12.39
1,2.5,24.4,59.2,9,2.2,87,5,81.4,0.33,280,3,3.3,4.24,7.78,138,9.05,0.92,3.01,1,7.16,62,37,165.8,20,266,79,13.92
3,2.96,198.7,95.7,4,1.88,43,15,440.2,0.7,216,3,5.08,5.79,11.64,200,12.48,1.48,4.55,1,17.86,60,40,295.4,45,104,92,55.6
1,2.36,123,45.5,8,1.83,2,15,232.9,0.37,215,2,3.5,4.77,9.9,113,10.6,1.59,2.72,1,5.39,46,50,824,34,75,83,33.31
5,2.46,142.6,52.7,9,0.35,26,8,418.7,0.5,124,1,6.55,8.05,14.56,122,15.19,1.99,6.26,2,5.57,71,30,576.2,37,274,77,36.48
3,2.44,26.8,28.6,3,2.34,70,11,398.4,0.61,401,1,4.51,5.78,10.56,108,11.39,1.13,4.14,2,20,53,36,498.1,32,0,62,30.27
4,2.45,98.5,68,9,2.28,6,8,119.9,0.6,176,1,3.61,4.67,9.98,83,11.85,1.43,3.37,2,13.06,48,47,517.6,22,125,95,19.09
4,2.2,277.2,67,5,1.4,90,10,319,0.32,60,3,3,4.47,7.3,193,8.59,1.27,2.77,1,10.2,63,55,350.4,24,110,52,26.27
6,2.42,263.9,42.3,8,0.5,85,13,394.8,0.36,80,3,2.57,2.58,6.52,113,7.03,1.03,1.99,1,9.43,57,30,224.1,28,123,97,43.68
3,2.63,254.9,99.3,7,0.55,28,7,240.9,0.56,152,3,2.85,3.5,6.78,116,8.74,1.3,2.01,1,15.78,58,32,109.9,24,139,56,45.16
5,2.83,173.9,59.2,3,2.29,29,8,345.4,0.81,447,1,3.09,3.99,6.48,241,7.3,1.43,2.74,2,5.49,68,55,265.1,35,184,86,52.09
4,2.88,291.2,31.8,9,1.29,72,12,127.4,0.76,499,4,2.9,2.92,8.49,244,10.33,1.41,2.04,1,5.71,52,46,189.8,32,289,57,45.91
6,2.27,246.4,36.1,6,1.4,43,7,397.7,0.73,405,4,2.5,3.71,6.46,165,8.31,0.63,2.49,2,18.83,74,50,800.4,44,0,84,48.33
5,2.34,283.1,84.4,4,2.38,76,9,462.1,0.32,410,2,5.87,8.51,12.3,102,13.92,1.19,4.3,3,19.18,56,37,187.7,33,55,34,42.29
4,2.31,47.2,48.5,9,0.8,7,9,153.7,0.96,155,3,2.52,2.55,6.35,189,6.85,0.87,2.38,2,11.34,62,55,470.4,36,107,77,54.47
3,2.28,70.6,66.3,7,0.98,51,1,345,0.88,357,3,2.91,3.27,6.62,110,8.42,0.73,2.88,1,18.74,55,44,294.1,34,139,96,57.02
3,2.67,127.9,76,4,0.49,49,6,380,0.9,113,4,2.24,2.34,6.13,240,7.63,1.11,2.11,2,18.69,69,45,576.2,32,68,74,66.39
3,2.37,233.7,24.8,7,1.79,85,15,306.4,0.84,499,2,5.65,6.08,11.52,197,12.5,2.72,4.61,1,13.58,48,41,110.7,42,108,96,50.71
1,2.69,60.2,79.2,8,1.19,42,6,430.7,0.74,42,4,2.71,3.18,7.68,209,8.61,0.99,2.41,2,5.89,75,50,763.9,30,279,42,55.79
1,2.44,161.7,87.9,3,1.68,84,6,341.3,0.96,222,2,5.33,6.54,13.65,247,15.48,2.52,4.94,3,8.61,66,38,742.8,30,237,93,49.98
5,2.32,89.3,26.3,4,0.84,23,8,294.6,0.62,349,4,5.6,6.25,13.25,187,15.19,2.35,5.17,1,6.4,67,40,527.5,26,33,55,36.08
3,2.52,183.9,36,7,1.5,43,11,452.1,0.91,118,4,5.41,6.14,12.56,141,14.17,1.26,4.55,3,19.63,66,30,865,41,182,36,50.61
3,2.28,257.4,79.9,9,2.04,75,13,464.1,0.71,491,4,5.34,7.5,11.4,213,12.58,2.66,4.07,3,10.74,69,47,905.7,36,297,33,53.58
6,2.34,161.7,63.4,6,1.18,26,5,50.7,0.33,276,1,3.11,3.96,7.96,96,8.75,1.08,2.77,2,14.44,48,30,320.7,30,59,33,15.62
3,2.99,47.5,45.2,9,0.64,16,1,170,0.47,231,4,2.94,3.16,7.34,136,8.61,1.19,2.6,2,19.7,62,34,402.9,26,48,69,18.66
6,2.75,112.1,77.9,3,2.4,5,5,444.5,0.95,434,2,5.33,6.01,12.75,186,14.54,2.63,3.75,3,5.82,75,33,996.5,28,253,36,66.17
3,2.39,220.1,70,3,2.08,19,8,403.3,0.62,353,3,2.42,2.71,7.22,163,8.15,0.5,2.11,3,12.08,58,41,723.6,41,49,83,54.26
4,2.83,113.1,56.1,8,1.27,30,12,106,0.44,350,2,5.86,8.01,14.19,145,15.13,1.22,4.35,3,17.05,45,35,165.4,42,205,53,24.9
5,2.88,35.8,86,10,0.79,89,12,416.7,0.62,488,1,2.93,3.64,6.54,171,8.32,0.63,2.16,2,15.96,65,49,419,32,103,34,40.38
6,2.95,245,81.6,8,1.22,89,8,433.7,0.75,464,2,6.57,9.71,14,115,15.65,1.62,5.21,1,8.74,62,41,510.4,41,145,98,44.3
3,2.95,42.9,83.8,5,1.44,58,14,342.5,0.4,349,3,4.41,4.78,11.92,234,13.83,1.56,3.18,1,19.04,64,37,760.9,44,16,41,40.26
5,2.77,260.7,76.2,6,0.42,51,9,197.2,0.99,463,2,3.88,5.15,10.77,196,12.34,0.79,3.61,3,15.12,56,39,224,35,226,51,57.95
5,2.97,176.7,67.7,3,1.91,2,7,184.6,0.66,327,4,5.4,7.65,13.07,118,14.56,1.54,5.38,3,10.2,47,37,193.7,40,267,93,28.02
3,2.64,236.4,99.4,9,1.61,29,4,487.3,0.82,197,4,4.31,5.6,8.88,144,10.62,1.56,3.77,1,10.77,45,35,662.9,37,46,97,48.61
4,2.34,115.1,87.2,5,0.68,58,8,473.8,0.62,354,4,5.08,5.81,14.27,142,15.85,2.25,4.09,2,6.02,59,38,363.1,29,175,92,43.27
3,2.35,146.5,92.4,6,0.16,8,2,341.2,0.76,349,4,7.02,9.05,14.13,88,15.64,2.07,5.7,2,15.6,62,38,334.2,44,207,33,44.13
5,2.69,27.8,78.3,8,0.93,28,14,131.7,0.96,70,3,4.35,5.63,12.73,107,14.17,1.95,3.57,1,16.08,59,34,806.7,30,130,44,41.02
5,2.59,175.4,98,4,1.88,47,10,272.6,0.77,241,3,5.46,6.83,12.93,95,14.37,2.16,4.4,1,19.55,51,30,601.2,22,92,37,46.23
4,2.25,138.3,56.9,5,1.28,39,7,104.2,0.39,216,3,4.03,4.04,11.13,214,12.35,1.13,3.82,2,8.47,63,46,912.2,22,231,93,16.75
6,2.88,233.4,64.1,7,0.62,49,1,143.9,0.32,102,2,6.46,7.74,14.85,84,16.62,1.66,4.75,3,18.09,65,55,886.8,38,298,66,14.35
3,2.88,240.6,57.2,9,0.83,9,1,229.1,0.51,263,4,4.36,5.38,11.3,116,12.2,1.61,3.83,2,19.67,54,31,262.1,34,144,88,21.18
3,2.61,123.5,90.2,6,1.14,45,3,385.8,0.89,417,4,4.13,5.12,8.33,211,10.01,1.07,3.92,3,11.44,73,42,997.2,26,32,93,43.56
1,2.45,194,64,9,1.48,39,4,420,0.37,43,1,5.04,6.29,10.59,146,12.59,2.42,4.27,2,13.54,54,30,601.9,27,68,65,37.38
4,2.63,166.5,92.2,9,0.13,77,12,371.2,0.63,311,1,3.24,3.73,8.65,137,9.28,0.76,2.6,1,8.93,68,34,371.3,26,30,52,51.63
6,2.98,27.3,73.8,6,0.24,87,3,390.6,0.61,469,3,6.28,7.76,14.95,94,16.72,2.46,5.7,2,5.19,56,36,470.2,40,255,37,40.44
5,2.77,125.8,57.9,4,2.5,80,12,121,0.38,346,1,2.47,3.07,6.03,77,7.2,0.55,2.27,2,9.5,52,35,398.4,37,238,46,15.84
1,2.63,299.7,84.6,3,1.09,2,15,332.8,0.95,98,2,4.12,5.32,8.31,178,10.3,1.96,3.27,3,8.75,58,40,327.4,20,146,87,65.5
5,2.68,129.7,50.1,7,1.64,59,6,57.6,0.33,77,2,3.96,4.3,9.98,247,11.88,1.34,2.87,2,12.66,59,40,429.9,25,74,61,10.93
4,2.31,275.1,30.7,3,2.26,5,4,93.5,0.42,225,1,4.38,6.34,12.05,124,13.75,0.96,3.16,3,8.47,73,46,463.6,45,84,87,17.39
3,2.64,198.9,22.1,10,2.32,20,12,448.9,0.93,219,4,4.01,4.92,8.84,99,10.83,1.19,3.9,2,19.97,64,33,793.7,32,87,75,62.95
6,2.3,131.2,80.5,10,0.39,90,4,446.7,0.84,463,1,6.24,6.79,13.1,122,13.86,1.73,6.04,3,12.44,69,52,322.4,34,83,43,56.06
5,2.74,58.3,85.2,3,2.09,58,4,353.2,0.77,162,4,5.14,6.94,13.84,234,15.45,1.12,4.83,2,14.41,51,52,659.8,30,100,90,36.28
3,2.96,265.5,61.2,8,1.03,17,9,108.5,0.73,219,2,3.74,4.68,9.82,234,11.15,1.37,2.65,2,7.62,60,52,218,33,52,36,44.55
3,2.81,88.7,71.3,6,0.45,48,10,243.9,0.63,226,2,3.41,4.61,7.6,106,8.7,1.62,2.67,1,13.1,52,34,814.7,20,188,48,46.72
4,2.74,138.2,60.4,3,0.15,86,15,476.4,0.68,286,3,4.3,6.03,12.51,80,14.23,1.92,3.78,2,13.19,63,38,148.3,35,298,92,48.24
4,2.48,213.9,28.2,5,1.07,88,12,379.3,0.97,221,1,4.11,5.94,11.51,81,12.71,1.59,3.22,3,14.5,63,51,583.8,24,102,75,64.16
5,2.83,169.7,70.8,4,1.06,46,13,319.8,1,362,2,4.08,4.23,9.89,206,11.63,1.71,3.95,1,13.74,50,50,640.8,33,282,47,46.6
1,2.51,253.2,60.2,8,2.35,13,13,305.1,0.84,415,4,7.09,7.09,14.97,101,16.4,3.17,6.75,1,11.39,52,42,799.7,25,245,69,44.77
1,2.27,156,36.1,5,1.26,60,14,201.3,0.31,472,2,5.5,7.35,11.4,184,12.35,1.99,4.11,3,18.24,58,48,728.2,37,273,85,20.8
5,2.67,297.1,41.1,6,1.54,17,2,115.3,0.68,474,1,6.05,7.27,13.59,113,14.51,1.71,4.8,1,8.64,61,39,558.4,44,47,51,39.96
4,2.34,298.7,80.5,5,1.87,86,15,60.5,0.72,480,1,4.91,6.12,13.82,182,15.81,1.46,4.78,2,17.84,50,33,977,32,275,95,21.2
4,2.68,255.7,58.7,10,0.87,83,14,439.3,0.98,477,3,6.52,7.88,13.83,194,14.49,1.5,6.14,3,16.06,74,36,169,42,283,55,49.19
1,2.35,246.5,38.1,3,2.24,71,11,115.5,0.95,214,1,3.71,5.45,10.88,204,12.3,1.31,3.55,3,17.1,59,51,190.9,32,299,87,46.11
3,2.9,79.9,52.7,6,0.65,12,2,494.4,0.64,77,3,4.03,4.7,12.01,195,13.4,0.86,3.48,3,6.9,46,40,420,45,183,36,57.45
4,2.62,184.9,23.6,10,0.74,79,6,259,0.73,130,3,4.91,5.28,10.48,223,11.01,1.14,4.39,3,8.15,74,44,852.2,30,197,78,34.45
4,2.39,250.9,73.9,9,1.3,19,5,297,0.93,176,3,2.83,2.89,6.06,82,7.09,0.74,2.09,1,13.23,58,32,133.3,35,244,81,64.67
5,2.61,253,42.5,9,0.68,61,9,450,0.48,55,3,6.63,8.21,14.78,116,16.02,2.7,4.92,2,13.57,55,54,860.8,41,53,48,47.93
1,2.28,57.7,62.7,4,0.45,55,7,138.6,0.67,270,2,5.48,5.72,12.25,244,12.89,1.8,5.15,3,17.08,47,44,151.6,39,207,64,31.37
1,2.93,197.2,22.7,4,1.54,58,13,192,0.79,278,4,4.03,5.33,8.8,222,9.64,1.59,2.98,1,13.72,50,42,677.5,44,130,51,46.06
6,2.81,43,87.6,6,1.53,18,13,296,0.64,488,2,2.84,3.38,7.68,223,9.04,1.24,2.78,2,9.71,75,31,588.9,38,233,42,30.93
1,2.35,114.2,81.7,7,0.83,62,12,392.7,0.89,88,3,6.72,9.99,13.64,220,15.13,3.32,5.76,1,8.48,47,30,267.3,22,234,37,47.04
1,2.45,47.6,76.3,4,1.16,65,6,470.3,0.62,324,2,2.58,3.55,6.78,191,7.45,1.08,1.89,1,12.34,71,43,566.5,32,0,59,44.28
1,2.93,25.6,54.8,10,0.45,51,15,292.3,0.58,109,3,4.39,6.53,9.4,151,11.2,0.91,3.89,3,13.87,74,44,267.2,42,75,86,36.09
6,2.55,228.8,88,9,0.15,33,1,369.5,0.88,394,3,3.91,5.65,10.95,201,12.26,1.36,3.5,1,5.38,51,44,378.8,20,151,92,57.42
4,2.31,24.8,48.5,6,0.58,80,4,485.4,0.71,79,4,2.75,3.91,6.14,244,6.68,1.16,2.02,3,9.06,62,35,479.7,20,33,62,60.69
6,2.32,223.3,45.1,8,1.51,60,14,342.8,0.96,240,4,5.13,7.57,14.77,142,16.65,2.53,4.68,3,7.45,60,39,707.3,39,176,83,48.66
1,2.3,181.5,71,10,1.9,14,5,432.2,0.97,270,2,5.45,7.97,12.72,232,13.93,1.42,5.14,2,17.82,46,41,945.7,36,120,58,56.25
6,2.74,166.5,47,9,0.34,90,5,227.7,0.89,434,2,5.37,6.23,14.76,188,15.56,1.61,4.27,2,12.78,75,47,685.3,23,180,47,52.12
4,2.91,164.6,22.7,6,1.41,76,4,368.9,0.88,60,2,4,4.01,8.17,88,10.09,1.73,3.66,2,13.17,67,35,313.6,38,69,72,48.86
5,2.65,98.3,68.4,4,0.33,25,8,105.6,0.85,76,1,5.53,7.17,14.72,124,16.04,2.67,5.32,1,13.42,75,38,553.1,25,139,36,26.13
3,2.48,70.7,31,8,0.8,39,5,81.6,0.92,35,4,2.23,3.21,6.48,131,7.26,0.92,2.05,1,14.72,50,32,531.5,44,35,85,44.04
1,2.7,276.3,97.5,3,1.56,9,2,88,0.75,375,1,5.62,6.71,12.09,156,13.95,2.35,4.9,2,13.09,64,49,287.4,40,101,69,40.7
1,2.6,136.3,55.8,10,2.47,27,5,279,0.63,424,1,4.36,5,11.85,231,12.67,0.96,3.56,1,9.86,62,34,702.8,22,298,30,37.45
3,2.83,224.8,99.4,5,1.76,33,7,461.3,0.71,239,2,3.09,3.69,7.03,86,8.63,1.44,3.03,2,6.3,55,41,805.1,37,282,46,55
5,2.3,269.2,92,4,2.14,89,6,414.9,0.86,280,4,2.65,3.21,6.23,201,6.81,0.73,1.94,3,16.58,61,52,167.4,41,24,57,63.61
6,2.44,62,28.8,5,1.9,53,9,319.8,0.52,215,2,4.9,5.97,11.56,182,13.06,1.93,4.64,3,16.61,55,35,732.3,29,25,55,35.68
1,2.38,83.1,71,4,1.96,60,4,250.4,0.82,42,1,4.05,5.15,11.46,130,12.57,0.88,3.44,1,16.52,72,32,716.2,37,237,32,47.74
6,2.92,228.3,66.3,6,1.82,16,2,413.1,0.68,414,1,4.6,5.64,9.98,192,10.5,1.77,4.49,3,17.68,58,37,243.1,29,174,75,41.68
